# library: fastnum
# key: method	width	scale	rounding	result
# result columns: kind(executed|na)	max_lsbe	max_ulp	scored	correctly_rounded	max_digits	reach_scale
# max_digits = exact decimal-digit length of the worst error magnitude (what the fidelity grade scores); max_lsbe is its bit-width.
# reach_scale = the depth (fractional digits) this library was actually graded at — its own last representable digit; equals `scale` for arbitrary-precision peers and decimal-scaled, equals the library's cap for a fixed-precision peer running on a deeper cell. The lsbe/ulp/digits in this row measure correctness at THAT depth (grade-at-own-last-digit), and the gap `scale - reach_scale` is the shallower-reach metric.
# source: benches/lib_cmp_precision.rs (regenerate with `cargo bench --bench lib_cmp_precision --features wide,x-wide,xx-wide,macros`)
method	width	scale	rounding	kind	max_lsbe	max_ulp	scored	correctly_rounded	max_digits	reach_scale
sqrt	D18	0	HalfAwayFromZero	executed	0	0	194	194	0	0
sqrt	D18	4	HalfAwayFromZero	executed	0	0	195	195	0	4
sqrt	D18	9	HalfAwayFromZero	executed	0	0	194	194	0	9
sqrt	D18	13	HalfAwayFromZero	executed	0	0	148	148	0	13
sqrt	D18	17	HalfAwayFromZero	executed	0	0	128	128	0	17
sqrt	D38	0	HalfAwayFromZero	executed	0	0	174	174	0	0
sqrt	D38	9	HalfAwayFromZero	executed	0	0	174	174	0	9
sqrt	D38	19	HalfAwayFromZero	executed	0	0	173	173	0	19
sqrt	D38	28	HalfAwayFromZero	executed	0	0	173	173	0	28
sqrt	D38	37	HalfAwayFromZero	executed	0	0	113	113	0	34
sqrt	D57	0	HalfAwayFromZero	executed	0	0	87	87	0	0
sqrt	D57	14	HalfAwayFromZero	executed	0	0	86	86	0	14
sqrt	D57	28	HalfAwayFromZero	executed	0	0	86	86	0	28
sqrt	D57	42	HalfAwayFromZero	na	-1	na	0	0	-1	34
sqrt	D57	56	HalfAwayFromZero	na	-1	na	0	0	-1	34
sqrt	D76	0	HalfAwayFromZero	executed	0	0	76	76	0	0
sqrt	D76	19	HalfAwayFromZero	executed	0	0	76	76	0	19
sqrt	D76	38	HalfAwayFromZero	executed	0	0	1	1	0	34
sqrt	D76	57	HalfAwayFromZero	na	-1	na	0	0	-1	34
sqrt	D76	75	HalfAwayFromZero	na	-1	na	0	0	-1	34
sqrt	D115	0	HalfAwayFromZero	executed	0	0	67	67	0	0
sqrt	D115	28	HalfAwayFromZero	executed	0	0	66	66	0	28
sqrt	D115	57	HalfAwayFromZero	na	-1	na	0	0	-1	34
sqrt	D115	86	HalfAwayFromZero	na	-1	na	0	0	-1	34
sqrt	D115	114	HalfAwayFromZero	na	-1	na	0	0	-1	34
sqrt	D153	0	HalfAwayFromZero	executed	0	0	61	61	0	0
sqrt	D153	38	HalfAwayFromZero	executed	0	0	1	1	0	34
sqrt	D153	76	HalfAwayFromZero	na	-1	na	0	0	-1	34
sqrt	D153	114	HalfAwayFromZero	na	-1	na	0	0	-1	34
sqrt	D153	152	HalfAwayFromZero	na	-1	na	0	0	-1	34
sqrt	D230	0	HalfAwayFromZero	executed	0	0	57	57	0	0
sqrt	D230	57	HalfAwayFromZero	na	-1	na	0	0	-1	34
sqrt	D230	115	HalfAwayFromZero	na	-1	na	0	0	-1	34
sqrt	D230	172	HalfAwayFromZero	na	-1	na	0	0	-1	34
sqrt	D230	229	HalfAwayFromZero	na	-1	na	0	0	-1	34
sqrt	D307	0	HalfAwayFromZero	executed	0	0	57	57	0	0
sqrt	D307	76	HalfAwayFromZero	na	-1	na	0	0	-1	34
sqrt	D307	153	HalfAwayFromZero	na	-1	na	0	0	-1	34
sqrt	D307	230	HalfAwayFromZero	na	-1	na	0	0	-1	34
sqrt	D307	306	HalfAwayFromZero	na	-1	na	0	0	-1	34
sqrt	D462	0	HalfAwayFromZero	executed	0	0	57	57	0	0
sqrt	D462	115	HalfAwayFromZero	na	-1	na	0	0	-1	34
sqrt	D462	231	HalfAwayFromZero	na	-1	na	0	0	-1	34
sqrt	D462	346	HalfAwayFromZero	na	-1	na	0	0	-1	34
sqrt	D462	461	HalfAwayFromZero	na	-1	na	0	0	-1	34
sqrt	D616	0	HalfAwayFromZero	executed	0	0	57	57	0	0
sqrt	D616	154	HalfAwayFromZero	na	-1	na	0	0	-1	34
sqrt	D616	308	HalfAwayFromZero	na	-1	na	0	0	-1	34
sqrt	D616	462	HalfAwayFromZero	na	-1	na	0	0	-1	34
sqrt	D616	615	HalfAwayFromZero	na	-1	na	0	0	-1	34
sqrt	D924	0	HalfAwayFromZero	executed	0	0	57	57	0	0
sqrt	D924	231	HalfAwayFromZero	na	-1	na	0	0	-1	34
sqrt	D924	462	HalfAwayFromZero	na	-1	na	0	0	-1	34
sqrt	D924	693	HalfAwayFromZero	na	-1	na	0	0	-1	34
sqrt	D924	923	HalfAwayFromZero	na	-1	na	0	0	-1	34
sqrt	D1232	0	HalfAwayFromZero	executed	0	0	57	57	0	0
sqrt	D1232	308	HalfAwayFromZero	na	-1	na	0	0	-1	34
sqrt	D1232	616	HalfAwayFromZero	na	-1	na	0	0	-1	34
sqrt	D1232	924	HalfAwayFromZero	na	-1	na	0	0	-1	34
sqrt	D1232	1231	HalfAwayFromZero	na	-1	na	0	0	-1	34
cbrt	D18	0	HalfAwayFromZero	executed	0	0	95	95	0	0
cbrt	D18	4	HalfAwayFromZero	executed	0	0	106	106	0	4
cbrt	D18	9	HalfAwayFromZero	executed	0	0	106	106	0	9
cbrt	D18	13	HalfAwayFromZero	executed	0	0	94	94	0	13
cbrt	D18	17	HalfAwayFromZero	executed	0	0	59	59	0	17
cbrt	D38	0	HalfAwayFromZero	executed	0	0	100	100	0	0
cbrt	D38	9	HalfAwayFromZero	executed	0	0	92	92	0	9
cbrt	D38	19	HalfAwayFromZero	executed	0	0	95	95	0	19
cbrt	D38	28	HalfAwayFromZero	executed	0	0	98	98	0	28
cbrt	D38	37	HalfAwayFromZero	executed	0	0	52	52	0	34
cbrt	D57	0	HalfAwayFromZero	executed	0	0	44	44	0	0
cbrt	D57	14	HalfAwayFromZero	executed	0	0	54	54	0	14
cbrt	D57	28	HalfAwayFromZero	executed	0	0	52	52	0	28
cbrt	D57	42	HalfAwayFromZero	na	-1	na	0	0	-1	34
cbrt	D57	56	HalfAwayFromZero	na	-1	na	0	0	-1	34
cbrt	D76	0	HalfAwayFromZero	executed	0	0	46	46	0	0
cbrt	D76	19	HalfAwayFromZero	executed	0	0	47	47	0	19
cbrt	D76	38	HalfAwayFromZero	executed	0	0	2	2	0	34
cbrt	D76	57	HalfAwayFromZero	na	-1	na	0	0	-1	34
cbrt	D76	75	HalfAwayFromZero	na	-1	na	0	0	-1	34
cbrt	D115	0	HalfAwayFromZero	executed	0	0	50	50	0	0
cbrt	D115	28	HalfAwayFromZero	executed	0	0	43	43	0	28
cbrt	D115	57	HalfAwayFromZero	na	-1	na	0	0	-1	34
cbrt	D115	86	HalfAwayFromZero	na	-1	na	0	0	-1	34
cbrt	D115	114	HalfAwayFromZero	na	-1	na	0	0	-1	34
cbrt	D153	0	HalfAwayFromZero	executed	0	0	45	45	0	0
