function	width	scale	mode	passed	failed	na
acos	115	0	Ceiling	3	0	4012
acos	115	0	Floor	3	0	4012
acos	115	0	HalfAwayFromZero	3	0	4012
acos	115	0	HalfToEven	3	0	4012
acos	115	0	HalfTowardZero	3	0	4012
acos	115	0	Trunc	3	0	4012
acos	115	114	Ceiling	4013	0	2
acos	115	114	Floor	4013	0	2
acos	115	114	HalfAwayFromZero	4013	0	2
acos	115	114	HalfToEven	4013	0	2
acos	115	114	HalfTowardZero	4013	0	2
acos	115	114	Trunc	4013	0	2
acos	115	28	Ceiling	3718	0	297
acos	115	28	Floor	3718	0	297
acos	115	28	HalfAwayFromZero	3718	0	297
acos	115	28	HalfToEven	3718	0	297
acos	115	28	HalfTowardZero	3718	0	297
acos	115	28	Trunc	3718	0	297
acos	115	50	Ceiling	4012	0	3
acos	115	50	Floor	4012	0	3
acos	115	50	HalfAwayFromZero	4012	0	3
acos	115	50	HalfToEven	4012	0	3
acos	115	50	HalfTowardZero	4012	0	3
acos	115	50	Trunc	4012	0	3
acos	115	57	Ceiling	4012	0	3
acos	115	57	Floor	4012	0	3
acos	115	57	HalfAwayFromZero	4012	0	3
acos	115	57	HalfToEven	4012	0	3
acos	115	57	HalfTowardZero	4012	0	3
acos	115	57	Trunc	4012	0	3
acos	115	86	Ceiling	4013	0	2
acos	115	86	Floor	4013	0	2
acos	115	86	HalfAwayFromZero	4013	0	2
acos	115	86	HalfToEven	4013	0	2
acos	115	86	HalfTowardZero	4013	0	2
acos	115	86	Trunc	4013	0	2
acos	1232	0	Ceiling	3	0	4012
acos	1232	0	Floor	3	0	4012
acos	1232	0	HalfAwayFromZero	3	0	4012
acos	1232	0	HalfToEven	3	0	4012
acos	1232	0	HalfTowardZero	3	0	4012
acos	1232	0	Trunc	3	0	4012
acos	1232	1200	Ceiling	4015	0	0
acos	1232	1200	Floor	4015	0	0
acos	1232	1200	HalfAwayFromZero	4015	0	0
acos	1232	1200	HalfToEven	4015	0	0
acos	1232	1200	HalfTowardZero	4015	0	0
acos	1232	1200	Trunc	4015	0	0
acos	1232	1231	Ceiling	4015	0	0
acos	1232	1231	Floor	4015	0	0
acos	1232	1231	HalfAwayFromZero	4015	0	0
acos	1232	1231	HalfToEven	4015	0	0
acos	1232	1231	HalfTowardZero	4015	0	0
acos	1232	1231	Trunc	4015	0	0
acos	1232	250	Ceiling	4015	0	0
acos	1232	250	Floor	4015	0	0
acos	1232	250	HalfAwayFromZero	4015	0	0
acos	1232	250	HalfToEven	4015	0	0
acos	1232	250	HalfTowardZero	4015	0	0
acos	1232	250	Trunc	4015	0	0
acos	1232	30	Ceiling	3990	0	25
acos	1232	30	Floor	3990	0	25
acos	1232	30	HalfAwayFromZero	3990	0	25
acos	1232	30	HalfToEven	3990	0	25
acos	1232	30	HalfTowardZero	3990	0	25
acos	1232	30	Trunc	3990	0	25
acos	1232	308	Ceiling	4015	0	0
acos	1232	308	Floor	4015	0	0
acos	1232	308	HalfAwayFromZero	4015	0	0
acos	1232	308	HalfToEven	4015	0	0
acos	1232	308	HalfTowardZero	4015	0	0
acos	1232	308	Trunc	4015	0	0
acos	1232	470	Ceiling	4015	0	0
acos	1232	470	Floor	4015	0	0
acos	1232	470	HalfAwayFromZero	4015	0	0
acos	1232	470	HalfToEven	4015	0	0
acos	1232	470	HalfTowardZero	4015	0	0
acos	1232	470	Trunc	4015	0	0
acos	1232	616	Ceiling	4015	0	0
acos	1232	616	Floor	4015	0	0
acos	1232	616	HalfAwayFromZero	4015	0	0
acos	1232	616	HalfToEven	4015	0	0
acos	1232	616	HalfTowardZero	4015	0	0
acos	1232	616	Trunc	4015	0	0
acos	1232	924	Ceiling	4015	0	0
acos	1232	924	Floor	4015	0	0
acos	1232	924	HalfAwayFromZero	4015	0	0
acos	1232	924	HalfToEven	4015	0	0
acos	1232	924	HalfTowardZero	4015	0	0
acos	1232	924	Trunc	4015	0	0
acos	153	0	Ceiling	3	0	4012
acos	153	0	Floor	3	0	4012
acos	153	0	HalfAwayFromZero	3	0	4012
acos	153	0	HalfToEven	3	0	4012
acos	153	0	HalfTowardZero	3	0	4012
acos	153	0	Trunc	3	0	4012
acos	153	114	Ceiling	4013	0	2
acos	153	114	Floor	4013	0	2
acos	153	114	HalfAwayFromZero	4013	0	2
acos	153	114	HalfToEven	4013	0	2
acos	153	114	HalfTowardZero	4013	0	2
